114733,300,1516699584,e581d79354d73e465709e1bd0282c702e7d45395,-53,94652D,2018-01-23 09:26:24
114758,300,1516699730,e581d79354d73e465709e1bd0282c702e7d45395,-55,94652D,2018-01-23 09:28:50
114773,300,1516699744,e581d79354d73e465709e1bd0282c702e7d45395,-57,94652D,2018-01-23 09:29:04
114934,300,1516700134,e581d79354d73e465709e1bd0282c702e7d45395,-61,94652D,2018-01-23 09:35:34
115016,300,1516700314,e581d79354d73e465709e1bd0282c702e7d45395,-55,94652D,2018-01-23 09:38:34
115041,300,1516700355,e581d79354d73e465709e1bd0282c702e7d45395,-55,94652D,2018-01-23 09:39:15
115926,300,1516702549,e581d79354d73e465709e1bd0282c702e7d45395,-69,94652D,2018-01-23 10:15:49
116387,300,1516703762,e581d79354d73e465709e1bd0282c702e7d45395,-79,94652D,2018-01-23 10:36:02
225767,300,1517233618,e581d79354d73e465709e1bd0282c702e7d45395,-51,94652D,2018-01-29 13:46:58
225783,300,1517233625,e581d79354d73e465709e1bd0282c702e7d45395,-51,94652D,2018-01-29 13:47:05
225799,300,1517233695,e581d79354d73e465709e1bd0282c702e7d45395,-53,94652D,2018-01-29 13:48:15
225818,300,1517233791,e581d79354d73e465709e1bd0282c702e7d45395,-51,94652D,2018-01-29 13:49:51
225828,300,1517233821,e581d79354d73e465709e1bd0282c702e7d45395,-51,94652D,2018-01-29 13:50:21
225954,300,1517234164,e581d79354d73e465709e1bd0282c702e7d45395,-53,94652D,2018-01-29 13:56:04
225979,300,1517234230,e581d79354d73e465709e1bd0282c702e7d45395,-47,94652D,2018-01-29 13:57:10
226005,300,1517234317,e581d79354d73e465709e1bd0282c702e7d45395,-57,94652D,2018-01-29 13:58:37
226037,300,1517234445,e581d79354d73e465709e1bd0282c702e7d45395,-43,94652D,2018-01-29 14:00:45
226058,300,1517234472,e581d79354d73e465709e1bd0282c702e7d45395,-33,94652D,2018-01-29 14:01:12
226168,300,1517234930,e581d79354d73e465709e1bd0282c702e7d45395,-53,94652D,2018-01-29 14:08:50
226190,300,1517235020,e581d79354d73e465709e1bd0282c702e7d45395,-87,94652D,2018-01-29 14:10:20
226208,300,1517235088,e581d79354d73e465709e1bd0282c702e7d45395,-47,94652D,2018-01-29 14:11:28
226241,300,1517235184,e581d79354d73e465709e1bd0282c702e7d45395,-55,94652D,2018-01-29 14:13:04
226263,300,1517235284,e581d79354d73e465709e1bd0282c702e7d45395,-55,94652D,2018-01-29 14:14:44
226279,300,1517235305,e581d79354d73e465709e1bd0282c702e7d45395,-63,94652D,2018-01-29 14:15:05
226411,300,1517235906,e581d79354d73e465709e1bd0282c702e7d45395,-63,94652D,2018-01-29 14:25:06
226523,300,1517236401,e581d79354d73e465709e1bd0282c702e7d45395,-85,94652D,2018-01-29 14:33:21
